Image Name,crater_lat,crater_long
M1233799944LC_pyr.tif,-1.588086,69.053542
M1233799944RC_pyr.tif,-1.588021,69.209832
M1233799944RC_pyr.tif,-1.587957,69.201617
M1233799944LC_pyr.tif,-1.587953,69.053157
M1233799944RC_pyr.tif,-1.587828,69.19154
M1233799944RC_pyr.tif,-1.587699,69.233514
M1233799944LC_pyr.tif,-1.587422,69.079535
M1233799944RC_pyr.tif,-1.587313,69.236851
M1233799944LC_pyr.tif,-1.587289,69.064838
M1233799944RC_pyr.tif,-1.587248,69.22087
M1233799944RC_pyr.tif,-1.587055,69.221769
M1233799944RC_pyr.tif,-1.586926,69.219266
M1233799944LC_pyr.tif,-1.586891,69.093141
M1233799944RC_pyr.tif,-1.586861,69.247312
M1233799944RC_pyr.tif,-1.586797,69.205275
M1233799944RC_pyr.tif,-1.586732,69.210152
M1233799944LC_pyr.tif,-1.586691,69.044942
M1233799944RC_pyr.tif,-1.586539,69.212976
M1233799944RC_pyr.tif,-1.586346,69.20842
M1233799944LC_pyr.tif,-1.586293,69.053414
M1233799944LC_pyr.tif,-1.586094,69.052387
M1233799944LC_pyr.tif,-1.585629,69.095066
M1233799944RC_pyr.tif,-1.585379,69.232423
M1233799944LC_pyr.tif,-1.585363,69.090124
M1233799944LC_pyr.tif,-1.585164,69.091472
M1233799944RC_pyr.tif,-1.585121,69.227802
M1233799944RC_pyr.tif,-1.584992,69.220614
M1233799944RC_pyr.tif,-1.584992,69.21227
M1233799944LC_pyr.tif,-1.584965,69.078251
M1233799944LC_pyr.tif,-1.584898,69.08653
M1233799944RC_pyr.tif,-1.584734,69.195776
M1233799944RC_pyr.tif,-1.584605,69.192567
M1233799944RC_pyr.tif,-1.584605,69.244296
M1233799944RC_pyr.tif,-1.584541,69.231909
M1233799944RC_pyr.tif,-1.584541,69.202515
M1233799944RC_pyr.tif,-1.584412,69.232038
M1233799944LC_pyr.tif,-1.584168,69.079085
M1233799944RC_pyr.tif,-1.584154,69.22132
M1233799944LC_pyr.tif,-1.584102,69.059575
M1233799944RC_pyr.tif,-1.584025,69.195263
M1233799944LC_pyr.tif,-1.583902,69.054826
M1233799944LC_pyr.tif,-1.583902,69.099045
M1233799944LC_pyr.tif,-1.583637,69.068432
M1233799944LC_pyr.tif,-1.583637,69.050654
M1233799944RC_pyr.tif,-1.58351,69.200012
M1233799944RC_pyr.tif,-1.58351,69.227481
M1233799944LC_pyr.tif,-1.583371,69.095708
M1233799944RC_pyr.tif,-1.583252,69.220357
M1233799944LC_pyr.tif,-1.583105,69.094681
M1233799944RC_pyr.tif,-1.583059,69.214709
M1233799944LC_pyr.tif,-1.582906,69.081588
M1233799944RC_pyr.tif,-1.582479,69.241729
M1233799944LC_pyr.tif,-1.582242,69.068432
M1233799944RC_pyr.tif,-1.582156,69.208484
M1233799944LC_pyr.tif,-1.582109,69.055531
M1233799944RC_pyr.tif,-1.582027,69.24911
M1233799944RC_pyr.tif,-1.581963,69.202643
M1233799944RC_pyr.tif,-1.581963,69.21227
M1233799944RC_pyr.tif,-1.58177,69.246542
M1233799944LC_pyr.tif,-1.581645,69.060987
